DNI,Nombre Completo,Zona,Prioridad,Hora de Registro
81818726,Patricia Garcia Quispe,Prensa,4,1308
84898731,Andres Moreno Navarro,General A,2,2030
32258527,Fernanda Romero Medina,Platino,4,1740
84194169,Esteban Rodriguez Jimenez,Staff,3,0955
76898984,Carlos Moreno Castillo,VIP,5,0823
36413487,Eduardo Jimenez Garcia,General B,1,1230
60592574,Gabriel Medina Vargas,General B,1,1732
65419224,Claudia Rios Alvarez,Platino,4,1442
45757039,Diego Solis Alvarez,Platino,4,2127
79556112,Tomas Torres Rojas,Discapacitado,2,1811
46341006,Ana Flores Castro,Staff,3,0816
73605799,Josefa Rojas Navarro,Staff,3,1517
63772229,Camila Martin Garcia,General A,2,1152
15433224,Rodrigo Sanchez Gomez,Staff,3,1550
17606849,Antonio Flores Rojas,Platino,4,2154
84164045,Diana Solis Garcia,Staff,3,1908
62274643,Alicia Acosta Mamani,Platino,4,1113
83343129,Ricardo Martinez Sanchez,Platino,4,1534
20544522,Santiago Castillo Torres,Prensa,4,1915
25239791,Andres Navarro Mamani,Platino,4,1209
24179841,Javiera Medina Romero,Prensa,4,1953
12447189,Nicolas Moreno Rojas,General B,1,1831
39209482,Francisco Vargas Solis,Platino,4,1901
75898742,Jesus Soto Medina,Platino,4,2122
66045940,Camila Sanchez Acosta,Discapacitado,2,1149
78910374,Alicia Alvarez Soto,Platino,4,2056
89401424,Felipe Flores Romero,General A,2,0807
34693326,Gabriel Rios Medina,Prensa,4,1243
83838409,Estefania Jimenez Rios,Prensa,4,1455
65626427,Mateo Diaz Gomez,General A,2,1802
26151350,Andrea Herrera Solis,VIP,5,1316
13415609,Jose Rojas Perez,Prensa,4,1228
59792119,Ana Romero Solis,Discapacitado,2,2051
71668780,Julia Lopez Martinez,Prensa,4,1848
36472034,Javiera Rojas Romero,General A,2,1622
46978403,Cristian Romero Gomez,Discapacitado,2,1514
37123437,Monica Fernandez Medina,VIP,5,1020
72308787,Alejandro Garcia Martin,Prensa,4,1854
15556513,Luis Lopez Jimenez,Discapacitado,2,1920
48069679,Isabel Soto Castro,General B,1,2129
67535986,Marta Gonzales Castillo,VIP,5,1414
16711537,Miguel Ruiz Medina,VIP,5,1750
42152588,Luisa Sanchez Flores,General B,1,1843
42507957,Lucia Lopez Martin,Platino,4,2252
48252131,Catalina Medina Martin,General B,1,1952
44383783,Julio Romero Torres,Platino,4,1144
23941654,Miguel Martin Jimenez,General A,2,1632
83055751,Emilia Moreno Perez,Platino,4,1312
57314315,Josefa Ruiz Romero,Staff,3,2014
41717212,Alejandro Moreno Fernandez,VIP,5,1402
63252076,Clara Acosta Navarro,VIP,5,1351
57194444,Mariana Sanchez Gonzales,Prensa,4,2148
28126822,Jorge Herrera Jimenez,General B,1,1808
43775517,Natalia Navarro Perez,General B,1,1106
83083205,Martin Acosta Diaz,Prensa,4,1414
92491526,Julia Soto Martinez,VIP,5,1112
13726513,Emilio Acosta Lopez,General A,2,1747
16103669,Ana Vargas Herrera,VIP,5,1828
19485816,David Rojas Solis,Discapacitado,2,0844
80947253,Julio Gonzales Medina,Staff,3,1612
57764327,Martin Acosta Herrera,Discapacitado,2,1415
86499342,Catalina Gomez Navarro,Staff,3,2207
59470522,Diana Gomez Fernandez,VIP,5,1609
69980174,Antonio Mamani Castillo,Prensa,4,1317
80288498,Jimena Medina Rodriguez,Platino,4,0956
27734662,Manuela Gomez Vargas,Prensa,4,0949
44817391,Carla Medina Sanchez,Discapacitado,2,1057
46422007,Sebastian Martinez Solis,Prensa,4,0957
65029173,Sofia Flores Sanchez,General B,1,1137
16404980,Elizabeth Sanchez Soto,Discapacitado,2,2005
61384704,Martin Quispe Acosta,Platino,4,1426
55484846,Daniel Gonzales Navarro,Discapacitado,2,0926
44189718,Diana Soto Martinez,General A,2,1048
69363907,Carla Garcia Solis,Staff,3,2043
46317613,Pablo Rios Moreno,General B,1,2124
20096240,Camila Fernandez Rios,General A,2,2242
49426621,Mariana Sanchez Vargas,VIP,5,1757
45105099,Cristian Martinez Soto,General B,1,1241
35174055,Javier Gomez Herrera,VIP,5,2131
26718650,Julia Sanchez Rios,Staff,3,1401
52446712,Marcela Fernandez Soto,General A,2,1446
85595324,Mario Vargas Acosta,VIP,5,1235
29044054,Javier Ruiz Perez,Staff,3,1838
33815272,Javiera Fernandez Rodriguez,Platino,4,2115
31854271,Diego Castillo Fernandez,Prensa,4,1859
68588850,Jesus Sanchez Flores,General B,1,1627
19017469,Marco Castro Gomez,Discapacitado,2,2112
33492868,Nicolas Lopez Rodriguez,General A,2,1607
58260011,Carla Garcia Ruiz,VIP,5,0836
19247607,Rosa Solis Rojas,General A,2,1638
18874335,Juana Diaz Martin,VIP,5,2001
33414992,Jesus Navarro Perez,Prensa,4,2211
89613379,Valeria Gomez Vargas,General B,1,0808
74030659,Rodrigo Alvarez Solis,General A,2,2128
24275315,Valentina Rios Castro,Platino,4,1345
87251095,Guillermo Navarro Vargas,Prensa,4,1829
52042687,Manuela Medina Diaz,General A,2,1224
41686278,Juan Solis Quispe,Prensa,4,1231
89862265,Gustavo Castro Castillo,Staff,3,1812
35089988,Rodrigo Vargas Diaz,VIP,5,1100
18915469,Natalia Rios Fernandez,Platino,4,0947
97130620,Rodrigo Rios Vargas,Prensa,4,1919
25615935,Santiago Medina Gonzales,General B,1,0904
96359264,Jesus Fernandez Alvarez,General B,1,2025
75642320,Marcela Ruiz Quispe,General B,1,1935
71845234,Luis Moreno Romero,General A,2,2127
21347509,Elena Alvarez Quispe,General B,1,1445
99819878,Andrea Quispe Flores,General A,2,2152
56782254,Paola Rojas Herrera,Discapacitado,2,1158
74255532,Paulina Rios Castillo,VIP,5,0920
97398996,Valeria Diaz Martin,Discapacitado,2,1845
13903132,Catalina Sanchez Alvarez,Platino,4,1941
71778506,Ana Lopez Gomez,VIP,5,1352
42565255,Diego Jimenez Gomez,Prensa,4,1338
24608208,Sandra Garcia Martin,VIP,5,1842
92065838,Emilio Gomez Sanchez,General B,1,1640
92495229,Pedro Soto Alvarez,VIP,5,0815
61919137,Javier Gonzales Moreno,VIP,5,1641
86481713,Daniel Jimenez Castro,Staff,3,2225
81401484,Manuel Jimenez Gonzales,Platino,4,1851
72394554,Eduardo Navarro Castro,Discapacitado,2,2058
39803548,Marco Gomez Diaz,General B,1,0820
33048259,Florencia Alvarez Diaz,Platino,4,1937
12497133,Paola Gonzales Jimenez,Prensa,4,1818
24560965,Alejandro Alvarez Diaz,General A,2,1625
83590989,Hector Acosta Gonzales,VIP,5,1133
39605106,Natalia Alvarez Gomez,Prensa,4,1059
63862957,Maria Castro Martinez,General A,2,1232
81122856,Margarita Vargas Jimenez,Platino,4,2154
11197622,Oscar Herrera Castillo,General A,2,1353
99442453,Esteban Quispe Garcia,Platino,4,1901
55243107,Lucia Rojas Ruiz,General B,1,2033
97674200,Carmen Gomez Solis,Staff,3,1632
80053848,Victor Soto Castillo,General A,2,1516
27054223,Paulina Solis Castro,General B,1,1221
24937543,Luis Rodriguez Ruiz,Platino,4,1926
19349404,Nicolas Mamani Ruiz,General A,2,1742
97978180,Mariana Castro Romero,Prensa,4,1947
81582738,Carlos Rios Solis,General B,1,1903
56573613,Guillermo Castillo Soto,Discapacitado,2,2023
64483431,Valentina Mamani Lopez,Staff,3,2123
52177393,Javiera Garcia Mamani,Prensa,4,1524
98301299,Valentina Torres Romero,VIP,5,1156
21592509,Estefania Rios Soto,VIP,5,1855
33044477,Monica Rojas Ruiz,Prensa,4,2051
59635981,Andrea Romero Jimenez,Prensa,4,1444
58229708,Laura Solis Quispe,VIP,5,0805
14430827,Isabel Quispe Perez,Staff,3,0858
15923475,Maria Solis Jimenez,General A,2,2054
64583826,Manuela Jimenez Martinez,General B,1,2119
